Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. zaèetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlaèilci;Dnevni NOO;Tip
R2;423;1243;BISTRICA OB SOTLI - MP BISTRICA;0;1.102;411;MP Bistrica ob Sotli;QLTC10;615;9;465;8;33;14;8;20;58;59;PLDP
R2;424;1166;BOŠTANJ - OREŠJE/SEVNICI;0;5.700;;;P;1.300;4;1.107;9;95;40;30;5;10;36;PLDP
R2;424;1166;OREŠJE/SEVNICI - PLANINA;5.700;21.006;186;Podgorje;QLTC10;793;25;644;7;71;18;14;5;9;23;PLDP
R2;424;1170;PLANINA - DEŽNO;0;1.115;;;P;600;25;465;10;30;25;30;5;10;34;PLDP
R2;424;1225;DEŽNO - ÈRNOLICA;0;11.800;313;Dobje;QLTC10;2.588;26;2.246;9;205;35;34;11;22;49;PLDP
R2;425;1265;POLJANA - MEŽICA;0;3.310;323;Poljana;QLTC8;5.300;47;4.636;41;357;48;67;19;85;247;DIST
R2;425;1265;MEŽICA - ÈRNA;3.310;11.420;579;Mežica;QLTC10;3.364;34;2.844;34;243;33;72;13;91;239;WIM
R2;425;1265;ÈRNA - ŠENTVID;11.420;23.786;434;Javorje;QLTC10;439;24;349;2;40;8;6;3;7;12;PLDP
R2;425;1266;ŠENTVID - ŠOŠTANJ;0;16.605;324;Toplošèica;QLTC10;1.085;25;986;3;50;10;5;1;5;10;PLDP
R2;425;1267;ŠOŠTANJ - PESJE;0;1.835;167;Šoštanj;QLTC10;11.216;96;10.027;79;728;113;82;29;62;156;PLDP
R2;425;1419;PESJE - VELENJE;0;3.790;166;Pesje;QLTC10;10.965;98;9.608;100;678;144;112;55;170;270;PLDP
R2;426;1269;PESJE - GORENJE;0;6.100;168;Lokovica;QLTC10;6.028;78;5.205;44;406;80;58;39;118;163;PLDP
R2;426;7949;GORENJE  -  REÈICA;0;4.220;35;Paška vas;QLTC10;4.885;60;4.225;40;355;55;50;20;80;116;PLDP
R2;426;7949; REÈICA - LETUŠ;4.220;5.795;176;Reèica ob Paki;QLTC10;4.450;61;3.802;35;337;61;47;22;85;118;PLDP
R2;427;1351;LATKOVA VAS - PREBOLD;0;3.000;741;Latkova vas;QLTC10;5.644;61;5.079;44;363;45;29;9;14;57;PLDP
R2;427;1351;PREBOLD - SPODNJE GABRSKO;3.000;17.800;439;Podmeja;QLTC10;1.294;39;1.140;4;87;10;11;1;2;11;PLDP
R2;427;1351;SPODNJE GABRSKO - TRBOVLJE;17.800;19.617;;;P;5.500;50;5.150;45;160;30;50;10;5;60;PLDP
R2;428;1249;RADMIRJE - LUÈE;0;12.165;202;Ljubno;QLTC10;2.272;61;1.923;19;194;21;27;9;18;43;PLDP
R2;428;1250;LUÈE - SESTRE LOGAR;0;13.800;201;Solèava;QLTC10;1.010;49;823;18;93;8;11;3;5;20;PLDP
R2;428;1252;S.LOGAR - PAVLIÈEVO SEDLO;0;7.453;;;P;60;5;48;2;5;0;0;0;0;1;PLDP
R2;429;1245;VIŠNJA VAS - STRMEC;0;1.600;321;Višnja vas;QLTC8;6.735;102;5.944;39;506;64;49;9;22;75;PLDP
R2;429;1245;STRMEC - DOBRNA;1.600;7.520;348;Lemberg;QLTC10;3.867;77;3.366;27;278;51;38;10;20;60;PLDP
R2;429;1154;ODCEP V DOBRNO;0;1.695;;;P;2.550;70;2.200;25;170;40;25;5;15;44;PLDP
R2;429;1422;DOBRNA - ÈRNOVA;0;3.400;320;Èrnova 2;QLTC10;3.978;66;3.438;12;303;44;66;12;37;78;PLDP
R2;430;0032;PESNICA - PRIKLJ. PESNICA;0;209;;;P;24.000;90;21.495;90;1.460;195;195;95;380;475;PLDP
R2;430;0032;PRIKLJ. PESNICA - MARIBOR;209;4.516;16;Meljska ;QLTC8;23.560;102;20.706;120;1.791;192;143;96;410;482;PLDP
R2;430;0033;MARIBOR - POBREŽJE;0;1.534;;;P;30.000;80;26.885;40;1.800;320;250;75;550;601;PLDP
R2;430;0033;POBREŽJE - TABOR;1.534;4.274;15;Maribor ;QLTC8;32.716;113;29.091;52;2.214;307;302;68;569;638;PLDP
R2;430;0273;MB (PTUJSKA CESTA) - HOÈE;0;3.279;;;P;33.500;115;29.605;210;2.300;360;210;110;590;710;PLDP
R2;430;1558;MB (PTUJSKA - STRELIŠKA CESTA);0;1.306;;;P;22.800;70;19.455;200;2.000;380;120;90;485;585;PLDP
R2;430;0381;HOÈE  - SLIVNICA;0;965;17;Hoèe;QLTC8;31.773;133;27.651;172;2.550;324;200;114;629;709;PLDP
R2;430;0274;SLIVNICA - FRAM;0;4.810;906;Radizel;QLTC8;7.085;154;6.280;61;467;54;50;6;13;75;PLDP
R2;430;0274;FRAM - SL.BISTRICA;4.810;13.060;38;Bukovec;QLTC8;6.425;117;5.643;54;472;60;51;9;19;79;PLDP
R2;430;1452;ODCEP PRIKLJ. SL. BISTRICA S ;0;1.080;570;Brinje;MWTC1;4.700;45;4.105;10;280;70;95;15;80;126;PLDP
R2;430;0275;SL.BISTRICA ;0;2.626;;;P;13.700;140;12.385;55;850;160;50;10;50;120;PLDP
R2-NK;430;1559;VZHODNA OBVOZNICA SLOVENSKA BISTRICA;0 ;1.443 ;;;P;3.000;30;2.691;4;200;30;20;5;20;34;PLDP
R2;430;0276; SL.BISTRICA - LOŽNICA;0;1.593;569;Slovenska Bistica;QLTC8;7.605;146;6.637;48;580;92;56;13;33;97;PLDP
